t,notified_cases
26-Feb-20,1
27-Feb-20,0
28-Feb-20,0
29-Feb-20,0
1-Mar-20,0
2-Mar-20,1
3-Mar-20,0
4-Mar-20,2
5-Mar-20,2
6-Mar-20,1
7-Mar-20,0
8-Mar-20,0
9-Mar-20,0
10-Mar-20,0
11-Mar-20,0
12-Mar-20,1
13-Mar-20,1
14-Mar-20,1
15-Mar-20,1
16-Mar-20,7
17-Mar-20,12
18-Mar-20,5
19-Mar-20,18
20-Mar-20,11
21-Mar-20,24
22-Mar-20,44
23-Mar-20,41
24-Mar-20,58
25-Mar-20,84
26-Mar-20,79
27-Mar-20,75
28-Mar-20,72
29-Mar-20,74
30-Mar-20,52
31-Mar-20,77
1-Apr-20,73
2-Apr-20,82
3-Apr-20,75
4-Apr-20,77
5-Apr-20,70
6-Apr-20,53
7-Apr-20,37
8-Apr-20,28
9-Apr-20,44
10-Apr-20,27
11-Apr-20,25
12-Apr-20,20
13-Apr-20,11
14-Apr-20,16
15-Apr-20,11
16-Apr-20,17
17-Apr-20,12
18-Apr-20,10
19-Apr-20,10
20-Apr-20,3
21-Apr-20,6
22-Apr-20,5
23-Apr-20,5
24-Apr-20,6
25-Apr-20,6
26-Apr-20,3
27-Apr-20,3
28-Apr-20,1
29-Apr-20,2
30-Apr-20,3
1-May-20,6
2-May-20,0
3-May-20,1
4-May-20,0
5-May-20,2
6-May-20,2
7-May-20,1
8-May-20,1
9-May-20,1
10-May-20,3
11-May-20,0
12-May-20,0
13-May-20,0
14-May-20,1
15-May-20,1
16-May-20,0
17-May-20,0
18-May-20,0
19-May-20,0
20-May-20,0
21-May-20,0
22-May-20,1
23-May-20,0
24-May-20,0
25-May-20,0
26-May-20,0
27-May-20,0
28-May-20,0
29-May-20,0
30-May-20,0
31-May-20,0
1-Jun-20,0
2-Jun-20,0
3-Jun-20,0
4-Jun-20,0
5-Jun-20,0
6-Jun-20,0
7-Jun-20,0
8-Jun-20,0
9-Jun-20,0
10-Jun-20,0
11-Jun-20,0
12-Jun-20,0
